Title,Price,Description,Link,Date,Usage
Zeer veel Antieke kasten | Op kleur gemaakt | uitneembaar,Op aanvraag,Deze kast is een van de vele kasten welke bij ons in de hal staan. Professioneel schoongemaakt en je kunt zelf de inhoud en kleur,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1451935144-zeer-veel-antieke-kasten-op-kleur-gemaakt-uitneembaar,Vandaag,No usage
Plaatsnaambord met eigen plaatsnaam in vintage / retro stijl,"€ 35,00","Een oud plaatsnaambord van je eigen woonplaats aan de muur? Door de verweerde stijl, het roesteffect en het oude lettertype krijgt",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-wandborden-en-tegels/a1488085740-plaatsnaambord-met-eigen-plaatsnaam-in-vintage-retro-stijl,Vandaag,Verzenden
"Beeld, Hercules - Hout - 17e eeuw","€ 2.300,00",Antieke houten figuur van hercules 17e eeuw vroegere reparaties en vervangingen hoogte: 84 cm conditie is in overeenstemming met d,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509863052-beeld-hercules-hout-17e-eeuw,Vandaag,No usage
GEVRAAGD OUDE BERKEL SNIJMACHINE VLEESSNIJMACHINE HANDWIEL,Zie omschrijving,Te koop gevraagd / gezocht oude berkel vlees snijmachines snijmachine vleessnijmachines vleessnijmachine vleesmachine snij machine,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-keukenbenodigdheden/a1479738494-gevraagd-oude-berkel-snijmachine-vleessnijmachine-handwiel,Vandaag,No usage
"3-zitsbank, met chaise longue/Vissle beige","€ 379,00","Dankzij de zachte vormen, de moderne uitstraling en zijn slijtvaste lichte bekleding is deze bank met chaise longue een leuke comb",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1504984054-3-zitsbank-met-chaise-longue-vissle-beige,Vandaag,Verzenden
Antieke/Vintage Set Drank Kabinet & Commode Jaren ‘40/‘50,"€ 395,00","Hallo, hierbij biedt ik een meubelset aan, bestaande uit een drank kabinet en een commode.",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/m2226636231-antieke-vintage-set-drank-kabinet-commode-jaren-40-50,Vandaag,Ophalen
Zeer veel Antieke kasten | Op kleur gemaakt | uitneembaar,Op aanvraag,Deze kast is een van de vele kasten welke bij ons in de hal staan. Professioneel schoongemaakt en je kunt zelf de inhoud en kleur,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1451935144-zeer-veel-antieke-kasten-op-kleur-gemaakt-uitneembaar,Vandaag,No usage
Grote Nederlandse Antieke Ornament Lijst .,"€ 150,00",Wij bieden aan een grote antieke ornament lijst in een absolute perfecte staat. (Zie alle foto's !! ) - Land van herkomst: ned,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/m2226797284-grote-nederlandse-antieke-ornament-lijst,Vandaag,Ophalen
secretaire,"€ 80,00",Te koop: houten vintage secretaire met 'geheime laatjes'. Klep die opengeklapt dient als schrijfbureau. Binnenzijde voorzi,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/m2226761693-secretaire,Vandaag,Ophalen
Zeer veel antieke kasten | Op maat gemaakt | uitneembaar,N.o.t.k.,Al tientallen jaren is het inboedelhuis gespecialiseerd in het renoveren van antiek. Wij selecteren deze zelf om met zekerheid hog,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1435146605-zeer-veel-antieke-kasten-op-maat-gemaakt-uitneembaar,Vandaag,No usage
Frans antiek Faux bamboo miniatuur kastje 1920 handgemaakt,"€ 65,00","Frans antiek faux bamboo miniatuur kastje poppenkastje met lade ca 1920 met ook nog het originele oude glas ! 27,5 Hoog achter voo",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2226672141-frans-antiek-faux-bamboo-miniatuur-kastje-1920-handgemaakt,Vandaag,Ophalen of Verzenden
"Veel brocante kledingkasten, oude kast, vintage kast, Buffet",N.o.t.k.,"Zoekt u een unieke kast of meubelstuk voor uw interieur? Wij verkopen goede, kwalitatieve en duurzame meubels van 120 jaar oud. Wi",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1000367052-veel-brocante-kledingkasten-oude-kast-vintage-kast-buffet,Vandaag,No usage
Westminster klok merk pfeilkreuz,Bieden,Fraaie westminster klok van merk pfeilkreuz loopt en slaat een mooie melodie slaat ook de hele uren kast is netjes fraai facet ges,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-klokken/m2226766669-westminster-klok-merk-pfeilkreuz,Vandaag,Ophalen
Plaatsnaambord met eigen plaatsnaam in vintage / retro stijl,"€ 35,00","Een oud plaatsnaambord van je eigen woonplaats aan de muur? Door de verweerde stijl, het roesteffect en het oude lettertype krijgt",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-wandborden-en-tegels/a1488085740-plaatsnaambord-met-eigen-plaatsnaam-in-vintage-retro-stijl,Vandaag,Verzenden
